                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1218,                 2.8758,                 1.5285,                0.48555,                0.47922,                0.46724,                0.24008,                 1.4422,                 2.3738,                 2.2149,             0.00033056,             0.00033056,             0.00033056
                      2,                  1.177,                 1.6331,                 1.5566,                 0.4248,                0.50619,                 0.4435,                0.21553,                 1.5733,                 2.4485,                 2.2042,             0.00065732,             0.00065732,             0.00065732
                      3,                 1.2125,                 1.5516,                 1.5732,                0.49086,                0.50181,                0.52015,                0.25887,                 1.6183,                 2.2155,                 2.1993,             0.00097748,             0.00097748,             0.00097748
                      4,                 1.2381,                 1.5409,                 1.5941,                0.62297,                0.56839,                0.63755,                0.38157,                 1.4843,                 1.6135,                 2.0488,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1946,                 1.4329,                 1.5505,                 0.6732,                0.58053,                0.66701,                0.38906,                 1.3815,                 1.5151,                 1.9241,              0.0009703,              0.0009703,              0.0009703
                      6,                  1.148,                 1.2925,                 1.5086,                0.63779,                0.59958,                0.64593,                0.43007,                 1.2601,                 1.5099,                 1.8032,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.1358,                  1.304,                 1.5107,                0.68091,                0.62988,                0.71597,                0.46779,                 1.2176,                 1.4255,                 1.7521,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.1053,                 1.2229,                 1.4931,                0.74237,                0.64679,                0.74939,                0.50385,                 1.1429,                 1.2116,                  1.663,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.1201,                 1.2001,                 1.4904,                0.77052,                0.68953,                0.76588,                0.53184,                 1.1489,                 1.1113,                 1.7087,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.0643,                  1.106,                 1.4461,                0.76432,                0.76247,                0.82201,                0.55749,                 1.1737,                 1.0731,                 1.6852,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.0854,                 1.0967,                 1.4645,                0.74988,                0.72298,                0.79224,                0.55307,                 1.1079,                 1.0608,                 1.6561,              0.0009109,              0.0009109,              0.0009109
